,T_bd_aa,G_bd_aa,T_bd_cc,G_bd_cc,T_cc_aa,G_cc_aa
0,0.0005807200929152149,3.10070671e-12,0.0005807200929152149,2.65486726e-13,0.0005807200929152149,3.10070671e-12
1,0.20092915214866433,4.24911661e-12,0.10104529616724739,2.61946903e-12,0.20092915214866433,4.24911661e-12
2,0.30023228803716606,4.45229682e-12,0.02148664343786295,1.34513274e-12,0.30023228803716606,4.45229682e-12
3,0.40011614401858303,4.55830389e-12,0.04006968641114982,1.78761062e-12,0.40011614401858303,4.55830389e-12
4,0.4988385598141696,4.62897527e-12,0.05981416957026713,2.12389381e-12,0.4988385598141696,4.62897527e-12
5,0.02032520325203252,3.32155477e-12,0.08072009291521487,2.39823009e-12,0.02032520325203252,3.32155477e-12
6,0.04065040650406504,3.50706714e-12,0.1207897793263647,2.78761062e-12,0.04065040650406504,3.50706714e-12
7,0.06097560975609756,3.65724382e-12,0.140534262485482,2.94690265e-12,0.06097560975609756,3.65724382e-12
8,0.08072009291521487,3.78091873e-12,0.1602787456445993,3.07964602e-12,0.08072009291521487,3.78091873e-12
9,0.1016260162601626,3.89575972e-12,0.1794425087108014,3.19469027e-12,0.1016260162601626,3.89575972e-12
10,0.12020905923344948,3.98409894e-12,0.1997677119628339,3.30088496e-12,0.12020905923344948,3.98409894e-12
11,0.14227642276422764,4.06360424e-12,0.22009291521486643,3.38938053e-12,0.14227642276422764,4.06360424e-12
12,0.16085946573751453,4.13427562e-12,0.24041811846689895,3.47787611e-12,0.16085946573751453,4.13427562e-12
13,0.1800232288037166,4.19611307e-12,0.2607433217189315,3.54867257e-12,0.1800232288037166,4.19611307e-12
14,0.22009291521486643,4.30212014e-12,0.28164924506387923,3.61946903e-12,0.22009291521486643,4.30212014e-12
15,0.24041811846689895,4.34628975e-12,0.30255516840882696,3.68141593e-12,0.24041811846689895,4.34628975e-12
16,0.2607433217189315,4.39045936e-12,0.3205574912891986,3.73451327e-12,0.2607433217189315,4.39045936e-12
17,0.2804878048780488,4.41696113e-12,0.3420441347270616,3.78761062e-12,0.2804878048780488,4.41696113e-12
18,0.3205574912891986,4.47879859e-12,0.3612078977932636,3.83185841e-12,0.3205574912891986,4.47879859e-12
19,0.3403019744483159,4.50530035e-12,0.38153310104529614,3.86725664e-12,0.3403019744483159,4.50530035e-12
20,0.3600464576074332,4.5229682e-12,0.40185830429732866,3.91150442e-12,0.3600464576074332,4.5229682e-12
21,0.3803716608594657,4.53180212e-12,0.42044134727061555,3.94690265e-12,0.3803716608594657,4.53180212e-12
22,0.42044134727061555,4.58480565e-12,0.4413472706155633,3.97345133e-12,0.42044134727061555,4.58480565e-12
23,0.44018583042973286,4.59363958e-12,0.4610917537746806,4.00884956e-12,0.44018583042973286,4.59363958e-12
24,0.4605110336817654,4.6024735e-12,0.4808362369337979,4.02654867e-12,0.4605110336817654,4.6024735e-12
25,0.4802555168408827,4.61130742e-12,0.4988385598141696,4.05309735e-12,0.4802555168408827,4.61130742e-12
