,E_l0m,l0m,E_l0,l0,E_l1,l1,E_l1m,l1m,E_l2m,l2m,E_s0,s0,E_s1,s1,E_s2,s2
0,0.013820683819032283,1e-18,6.0261610378466015,9.578740574426005e-22,2.403562375741931,3.559605500204626e-24,0.001,4.3203011299257036e-20,0.0010382292952840085,4.4142793481399345e-24,0.001,1.5051164191978294e-20,0.001,1.7498090332270087e-20,0.3290876686124285,1e-24
1,0.018658458621394914,8.601603892866366e-19,6.0261610378466015,1.5378567664623792e-21,2.44907472695622,4.811084565435333e-24,0.0013249503147687058,3.7969882425160373e-20,0.0013003281162692008,5.022669241382635e-24,0.0012524479150951848,1.3809784956898008e-20,0.0012524479150951848,1.605489526011653e-20,0.36144715151460394,1.267079131708692e-24
2,0.02472153062351605,7.398758952977382e-19,6.256536927591426,2.522720630833122e-21,2.4954488715377043,6.50255616653011e-24,0.001822604609739901,3.337063616686562e-20,0.0016285932381610098,5.593241243560759e-24,0.001598328294986933,1.2401035305418573e-20,0.0016285932381610098,1.5051164191978294e-20,0.4199696657521706,1.6404132594456646e-24
3,0.03337502414759089,6.502556166530111e-19,6.375006790869186,3.716151901752419e-21,2.590848123313865,8.418479232217783e-24,0.0024148605513737735,2.8704099396033844e-20,0.0020397282056728748,6.2286298589825984e-24,0.002001822940694026,1.1378231519260376e-20,0.0021986639693952893,1.3228034749073683e-20,0.46999989365985334,2.078533408421838e-24
4,0.044220248749763706,5.593241243560759e-19,6.61871880791489,5.022669241382635e-21,2.740828576685145,1.0666879355866165e-23,0.003260155305209879,2.4690129310614983e-20,0.002603026653577135,7.08707925832821e-24,0.002460586837763046,1.0439785817666578e-20,0.0029131205183208974,1.2137022289906519e-20,0.556438940831646,2.8093000753665384e-24
5,0.05750083275773569,4.811084565435333e-19,6.871747763624489,6.78852936459214e-21,3.0103366862992136,1.4110185078357548e-23,0.004401335972812878,2.078533408421838e-20,0.0033847887450444776,8.239253221373973e-24,0.0030817568548669808,9.787104053000563e-21,0.003932825565069099,1.1135993581813197e-20,0.6587752445278735,3.716151901752419e-24
6,0.07201679810366302,4.228323669887876e-19,7.269543310097216,9.175227099215503e-21,3.4977453457549155,1.6404132594456647e-23,0.005941974087743519,1.7878721057334078e-20,0.004239271606768603,8.979890232993264e-24,0.003932825565069099,8.788712009482781e-21,0.005113963658641657,1.0217527008854236e-20,0.7799325154241205,4.915738648921725e-24
7,0.09190520798200048,3.7161519017524194e-19,7.835986630677923,1.2670791317086919e-20,4.1410258635063455,1.6054895260116528e-23,0.008328566634664941,1.4730731006568768e-20,0.005309466885419557,1.0217527008854235e-23,0.004925659179403835,8.063842859660716e-21,0.006904049073511313,9.175227099215503e-21,0.9062126964878938,6.2286298589825984e-24
8,0.1151064861234459,3.337063616686562e-19,8.446567254214765,1.57130930470786e-20,4.634338796838747,1.3515780232272272e-23,0.0116737335376694,1.2401035305418573e-20,0.007034779821090662,1.162573878610404e-23,0.006404973122138287,7.398758952977442e-21,0.009677058820627039,8.788712009482781e-21,1.0728769087059604,8.239253221373973e-24
9,0.14689469437429023,2.8704099396033845e-19,9.631783696938045,2.2171465104773037e-20,4.995446798373196,1e-23,0.01605841390538916,1.0217527008854236e-20,0.009147521993127405,1.3515780232272272e-23,0.008173792815141849,6.78852936459214e-21,0.013820683819032283,8.063842859660716e-21,1.2942443962679466,1.089891279187522e-23
