,T_dd_aa,G_dd_aa,T_dd_ac,G_dd_ac,T_dd_ad,G_dd_ad
0,-0.0001662646090615,1.7014711186124475e-16,-0.0015803907813765,2.446198731910733e-16,0.0030853217781507,1.1848309712881887e-16
1,0.0080036949519336,1.6083514882840592e-16,0.0018844156219785,2.344560953086338e-16,0.0108215976101079,1.0794227986553228e-16
2,0.0158866466089946,1.510784949581668e-16,0.0056716804609918,2.238452502404192e-16,0.0191744737476441,9.846800629966272e-17
3,0.0242312062999446,1.421800636248862e-16,0.0097734848201014,2.1333565462256302e-16,0.0274755732983695,9.257881502055638e-17
4,0.0325272086737301,1.366438079076891e-16,0.0143526899079988,2.025907735638472e-16,0.0357369685234576,8.943880601316475e-17
5,0.0407998713425801,1.32723625552919e-16,0.0200317874563051,1.9226922029643254e-16,0.0439844135800785,8.726472591205126e-17
6,0.0490679733794313,1.2911922764827827e-16,0.0274407718834004,1.825101116727571e-16,0.0522281028221121,8.535070359339729e-17
7,0.0573333926915772,1.2570058530253713e-16,0.0357378473470679,1.768995537320001e-16,0.0604615977102659,8.414255239856196e-17
8,0.0655864714700791,1.2313641852773442e-16,0.0440051445665075,1.733508824950293e-16,0.0686905319664208,8.325018565385604e-17
9,0.0738376723412874,1.2070228064416136e-16,0.0522689542438303,1.70043693484628e-16,0.0769200027675167,8.232066779737007e-17
10,0.082076264406381,1.1914119388741667e-16,0.0605204233875091,1.6759098004516507e-16,0.0851387426697917,8.213417217648287e-17
11,0.0903094910220643,1.1795161824847138e-16,0.0687625029947195,1.6578841106185087e-16,0.0933547998473615,8.213343211449514e-17
12,0.0985464734523348,1.1650198482706654e-16,0.076998948880049,1.643759287522258e-16,0.1015721983872839,8.203981427305772e-17
13,0.1067845289724875,1.1497804918210174e-16,0.0852214445969114,1.6392937534887906e-16,0.1097898651996769,8.192762087573024e-17
14,0.1150064881444088,1.145686468905348e-16,0.0934340142323644,1.64170117513461e-16,0.1180043127424235,8.203833414908247e-17
15,0.1232287155888006,1.1414066904307812e-16,0.1016616071261667,1.6337062854820483e-16,0.1262238574621101,8.179611186052516e-17
16,0.1314498699433103,1.1378699341918112e-16,0.1098870538402047,1.627197440300685e-16,0.1344380367323863,8.192540068976741e-17
17,0.1396712925702906,1.134147422393941e-16,0.1180859415796611,1.639078395450385e-16,0.1426465822807815,8.244477619269863e-17
18,0.1478868132029193,1.1345115328918642e-16,0.1263011939398194,1.6396282615072066e-16,0.1508545912842356,8.300130280740994e-17
19,0.156107967557429,1.1309747766528942e-16,0.1345075933084503,1.6463080610077188e-16,0.1590647464674539,8.340922497500155e-17
20,0.1643309998192325,1.1261377315016272e-16,0.1427107734074351,1.655216927215025e-16,0.1672749016506722,8.381714714259314e-17
21,0.1725478618142138,1.1255730642050515e-16,0.1509077832395978,1.6683981712770222e-16,0.1754810327468327,8.45037026485342e-17
22,0.180763114174372,1.126122930261874e-16,0.1591093537037594,1.6784215708377274e-16,0.1836877003879342,8.515310704269531e-17
23,0.1889826588940586,1.1237007073763016e-16,0.1673122655302736,1.6875161926039343e-16,0.1918932949391536,8.587681366041621e-17
24,0.1971997891615106,1.1229502845208271e-16,0.1755071291826722,1.7021834811371284e-16,0.2001015722150783,8.64147647192376e-17
25,0.2054067250750826,1.1292585729035383e-16,0.1837132602788326,1.7090490361965403e-16,0.2083106543084145,8.689698911038908e-17
26,0.2136233187975934,1.128879661165863e-16,0.1919196596474636,1.7157288356970507e-16,0.2165178584944571,8.750924239277018e-17
27,0.2218407173375158,1.1279434827514871e-16,0.2001169377520968,1.7287243242001487e-16,0.2247285502226164,8.788001344858185e-17
28,0.2300497994308521,1.132765726663002e-16,0.2083112648595543,1.7437631238511442e-16,0.2329263648721907,8.914241118711174e-17
29,0.2382669296983039,1.1320153038075268e-16,0.2165074698743055,1.7575016345898415e-16,0.2411319594234102,8.986611780483277e-17
30,0.246485669600579,1.1301503475986546e-16,0.224708503793526,1.7678965452683442e-16,0.2493405049718053,9.038549330776403e-17
31,0.254698239236032,1.1325577692444727e-16,0.2329014895386309,1.783864122713837e-16,0.2575434167983196,9.12949554843847e-17
32,0.2629054434220746,1.138680302068285e-16,0.241103328275263,1.7937017667156415e-16,0.2657482065321274,9.207438876977568e-17
33,0.2711223054170559,1.1381156347717099e-16,0.2493048987394246,1.8037251662763462e-16,0.2739645319821677,9.205507315189801e-17
34,0.2793370212322731,1.1390370119463312e-16,0.2574960065772358,1.820993032634137e-16,0.2821746871653861,9.246299531948944e-17
35,0.2875431523284336,1.145902567005741e-16,0.2656906019571639,1.8358460767262328e-16,0.2903778672643708,9.335388194022024e-17
36,0.2957581364161213,1.1466381886214644e-16,0.2738865386994445,1.8497703430238295e-16,0.2985877541751185,9.378037966370159e-17
37,0.3039712425965154,1.1486740991494835e-16,0.2820886457085471,1.8594222314667335e-16,0.3067946900886906,9.441120850197288e-17
38,0.3121768371477348,1.155911165326694e-16,0.2902786804564762,1.8774331200601216e-16,0.3149938461006175,9.558072846105287e-17
39,0.3203840413337774,1.1620336981505055e-16,0.2984797143756968,1.887828030738627e-16,0.3231980992894843,9.639731285822376e-17
40,0.3285963426967599,1.1646268753552244e-16,0.306682626202211,1.8969226525048327e-16,0.3314087910176437,9.676808391403536e-17
41,0.3368086440597423,1.167220052559942e-16,0.3148748071299044,1.9134474966270255e-16,0.3396151903862747,9.74360638640866e-17
42,0.3450155799733144,1.1735283409426554e-16,0.3230758410491249,1.9238424073055275e-16,0.3478205166650235,9.817834603769739e-17
43,0.3532302957885316,1.1744497181172767e-16,0.3312736556986992,1.9364663846908263e-16,0.3560279891235366,9.877202376418847e-17
44,0.361441524061632,1.177785917557594e-16,0.3394671779887451,1.952062451018522e-16,0.3642394856691076,9.90870681523303e-17
45,0.3696500696100271,1.1829796725869067e-16,0.34766016373385,1.9680300284640163e-16,0.3724367637737408,1.0038661700264012e-16
46,0.3778629075179507,1.1852013386738258e-16,0.3558609293806,1.9786106947014195e-16,0.3806463824120181,1.0083169028201179e-16
47,0.3860762819708153,1.1870514936429464e-16,0.3640638412071142,1.9877053164676247e-16,0.3888557327778248,1.0129533911727323e-16
48,0.3942891198787388,1.1892731597298635e-16,0.3722541442275138,2.0055304495021136e-16,0.39706427832622,1.0181471462020463e-16
49,0.4024811130157028,1.2059280327432894e-16,0.3804567877815575,2.0148108268272183e-16,0.4052720190572036,1.0238981679080576e-16
50,0.4107094302451755,1.1974316030816972e-16,0.3886605044254833,2.0233481819167255e-16,0.4134813694230104,1.0285346562606733e-16
51,0.4189252191502747,1.1976099580207193e-16,0.3968567094402345,2.0370866926554223e-16,0.4216880370641119,1.0350287002022836e-16
52,0.4271337646986698,1.2028037130500326e-16,0.4050614991740424,2.0448810255093314e-16,0.4298963143400366,1.0404082107904967e-16
53,0.435346870879064,1.204839623578052e-16,0.404226658681073,1.4195141160630923e-16,0.4381112984277243,1.0411438324062192e-16
54,0.4435618549667517,1.2055752451937768e-16,0.4132673619977323,2.051932336127641e-16,0.4463222584283542,1.0446657874054368e-16
55,0.4517685226078531,1.2120692891353864e-16,0.4214675910995412,2.0628845134828438e-16,0.4545332184289841,1.0481877424046534e-16
56,0.4599802874258947,1.215033977457904e-16,0.4296648692041745,2.0758800019859423e-16,0.4627374716178509,1.0563535863763606e-16
57,0.4682011735079339,1.2116829767778348e-16,0.437865366578454,2.086646423782246e-16,0.4709468219836576,1.0609900747289772e-16
58,0.4764172306855037,1.211675576157958e-16,0.4460712294021439,2.0936977344005572e-16,0.479158050256758,1.0643262741692935e-16
