,E_G_bd_aa,G_bd_aa,E_G_cc_aa,G_cc_aa,E_G_cc_bd,G_cc_bd,E_G_bd_ac,G_bd_ac,G_cd_ad,G_cb_ab,E_G_bd_all,G_bd_all,E_G_all_bd,G_all_bd
0,0.01,3.248088897238739e-12,0.010088272249062013,6.632930188158987e-12,0.012678078459422058,9.911149589308987e-12,3.5763096495356534,9.735810072368104e-12,9.735810072368104e-12,9.735810072368104e-12,0.01,2.5074068397284944e-12,0.012567145440192537,9.823088618165929e-12
1,0.0143379991273717,3.2192294939906677e-12,0.013131689664521247,6.5155861036393744e-12,0.01565512315844136,8.82544136923381e-12,3.8032307148494073,7.448915080832315e-12,7.448915080832315e-12,7.448915080832315e-12,0.01224013645841223,2.4630479588448376e-12,0.01565512315844136,8.747026960215222e-12
2,0.019331232401691528,3.2192294939906677e-12,0.017244127344529417,6.457694853519273e-12,0.019331232401691528,7.929116634226814e-12,4.044550189397608,5.853853648181813e-12,5.853853648181813e-12,5.853853648181813e-12,0.015114344365818582,2.3979767126447267e-12,0.01984768796946348,7.788841536178355e-12
3,0.0265255331728185,3.1341806932858815e-12,0.022644452882384515,6.287089059917235e-12,0.02583531377213571,6.873996431179508e-12,4.301181669228276,4.6415888336127725e-12,4.6415888336127725e-12,4.6415888336127725e-12,0.01882821549508216,2.29332241711881e-12,0.024293840913021978,7.0605284820511395e-12
4,0.03671854775278267,3.0242671703095196e-12,0.028708815031355674,6.231228015414772e-12,0.031071799957226587,6.231228015414772e-12,4.6962988461934945,3.4267602534331517e-12,3.4267602534331517e-12,3.4267602534331517e-12,0.023249424853505916,2.2128972052839663e-12,0.0302632824052933,6.287089059917235e-12
5,0.04907267072984346,2.9443690778231486e-12,0.03736965461682082,6.0666052475697206e-12,0.03671854775278267,5.801841918105209e-12,4.994284546997772,2.645334647359106e-12,2.645334647359106e-12,2.645334647359106e-12,0.028962234198427996,2.1163202882234068e-12,0.03639726094445628,5.499333750837023e-12
6,0.06674634377047052,2.8411121153322864e-12,0.04907267072984346,5.853853648181813e-12,0.04614473299618747,5.259327708859661e-12,5.311177791975002,2.0788801735640987e-12,2.0788801735640987e-12,2.0788801735640987e-12,0.03639726094445628,2.023958253303162e-12,0.04534073433200125,4.8102820581792745e-12
7,0.08764922726352699,2.7660527949179125e-12,0.0650095409286626,5.699200731013726e-12,0.05850265454147469,4.76754250453839e-12,5.64817828710332,1.6192068244593721e-12,1.6192068244593721e-12,1.6192068244593721e-12,0.04614473299618747,1.9184290247449987e-12,0.055497677534831154,4.245286227393853e-12
8,0.11611424327245054,2.645334647359106e-12,0.08462153832015816,5.499333750837023e-12,0.07160804747670002,4.3217427760378795e-12,6.059583133581276,1.2611745370012613e-12,1.2611745370012613e-12,1.2611745370012613e-12,0.05748333872689232,1.8022455152500003e-12,0.06792991461512922,3.680369922984047e-12
9,0.1498209405205523,2.552564613019497e-12,0.11509824517597307,5.259327708859661e-12,0.08920345576633032,3.988184063932288e-12,6.387685295601092,9.82308861816593e-13,9.82308861816593e-13,9.82308861816593e-13,0.07224014781687076,1.708276393808712e-12,0.08241960605045939,3.2192294939906677e-12
10,0.19331232401691517,2.4630479588448376e-12,0.14851000926792232,5.074886767657285e-12,0.11309284110571209,3.680369922984047e-12,6.792991461512922,7.382731164418842e-13,7.382731164418842e-13,7.382731164418842e-13,0.08999087473279009,1.6192068244593721e-12,0.10088272249062012,2.8158687175056377e-12
11,0.24081270125596355,2.3979767126447267e-12,0.19331232401691517,4.85340475878608e-12,0.143379991273717,3.366136964268259e-12,7.2240147816870754,5.648563098457593e-13,5.648563098457593e-13,5.648563098457593e-13,0.1140911370494335,1.5347813444464122e-12,0.12567145440192537,2.441163676575335e-12
12,0.31622776601683794,2.334624583227059e-12,0.2387055932975578,4.76754250453839e-12,0.18828215495082162,3.1063333691080394e-12,7.682387039893395,4.518962731807855e-13,4.518962731807855e-13,4.518962731807855e-13,0.14464563870373928,1.4418322279530618e-12,0.1538235750806697,2.1737485350396123e-12
13,0.4116269648674532,2.2729461532580186e-12,0.31901917962905413,4.600348126200241e-12,0.24942878136380728,2.8665818124639796e-12,8.462153832015815,3.3661369642682727e-13,3.3661369642682727e-13,3.3661369642682727e-13,0.18663468857943205,1.3666550633658662e-12,0.18828215495082162,1.9356271514803773e-12
14,0.564817828710332,2.2128972052839663e-12,0.4301181669228276,4.518962731807855e-12,0.3304334231190638,2.669049259646531e-12,9.078524442356223,2.7414763022357533e-13,2.7414763022357533e-13,2.7414763022357533e-13,0.2387055932975578,1.3070104796093688e-12,0.24081270125596355,1.708276393808712e-12
15,0.7482484080584663,2.2128972052839663e-12,0.5698036027153907,4.478811562345986e-12,0.4189260863918898,2.5298849716012843e-12,9.825765886595844,1.8677460622235675e-13,1.8677460622235675e-13,1.8677460622235675e-13,0.30799922117601025,1.249968949444695e-12,0.3134607772368952,1.521144749168909e-12
16,1.0634511794422536,2.252750933338456e-12,0.7818613967155059,4.478811562345986e-12,0.5311177791975003,2.419473837052555e-12,,,,,0.4009160428609232,1.1954168684575876e-12,0.39740803277607756,1.4037404727570365e-12
17,1.4212541824200682,2.313881347924153e-12,1.072838502179956,4.478811562345986e-12,0.6913447297558569,2.37667059107012e-12,,,,,0.4864328550848352,1.1742685834509287e-12,0.5172975934594308,1.3187274269568305e-12
18,2.0199634510465385,2.313881347924153e-12,1.4464563870373919,4.55947384416677e-12,0.8764922726352694,2.334624583227059e-12,,,,,0.6059583133581276,1.1432455902426929e-12,0.6733552875859908,1.2611745370012613e-12
19,2.7234192559377983,2.2327351487772878e-12,1.8177827788794334,4.600348126200241e-12,1.08230868892673,2.334624583227059e-12,,,,,0.7615166254665353,1.1330878062213176e-12,0.8536851167081896,1.2278555760351009e-12
20,3.1622776601683795,2.135292449330248e-12,2.167094563279023,4.55947384416677e-12,1.3842718076034473,2.313881347924153e-12,,,,,0.9739790564741568,1.1330878062213176e-12,1.1509824517597314,1.1954168684575876e-12
21,3.9393071773318544,1.8844898317731763e-12,2.5835313772135713,4.4390171376737755e-12,1.754990658596251,2.355553775260737e-12,,,,,1.245718308341748,1.1330878062213176e-12,1.5932725590172907,1.1847955404866406e-12
22,4.574096719136212,1.6631454521231453e-12,3.053042320548469,4.3217427760378795e-12,2.186223994382092,2.334624583227059e-12,,,,,1.565512315844136,1.1432455902426929e-12,2.0377941227312317,1.1534944356766646e-12
23,5.038370219939684,1.4809576370488518e-12,3.5450169872925206,4.0600102665844845e-12,2.921789035348358,2.2327351487772878e-12,,,,,1.8828215495082163,1.1330878062213176e-12,2.6293435107567382,1.1130421932675228e-12
24,5.64817828710332,1.2388629239937775e-12,4.080252343563838,3.680369922984047e-12,3.5450169872925206,2.060409237844233e-12,,,,,2.244631421846287,1.1230202745281386e-12,3.1622776601683795,1.0271358957979011e-12
25,6.444070830335394,9.82308861816593e-13,4.7377541323355805,3.2192294939906677e-12,4.1892608639188955,1.8022455152500003e-12,,,,,2.7717119330647266,1.083636739618459e-12,3.6078785391463244,9.146191917411912e-13
26,7.4170124436127995,7.515692315720218e-13,5.311177791975002,2.7414763022357533e-12,4.779575353611989,1.5764290110818663e-12,,,,,3.304334231190638,1e-12,4.152604886637954,7.929116634226814e-13
27,8.169843558506523,6.175863298586852e-13,5.850265454147469,2.37667059107012e-12,5.405357560188186,1.3424773797908078e-12,,,,,3.7699524962790556,8.747026960215222e-13,4.614473299618747,6.692392369209986e-13
28,9.9125001319525,3.9527488847330975e-13,6.387685295601092,2.060409237844233e-12,6.276390027182704,1.074008582682962e-12,,,,,4.377451812785282,7.317135294820846e-13,5.127712463425319,5.499333750837022e-13
29,,,7.03603910102294,1.6930982878923384e-12,6.852954724929598,8.984385372349018e-13,,,,,4.907267072984344,6.012703210795038e-13,5.598756801620291,4.55947384416677e-13
30,,,7.818613967155064,1.3789067060798505e-12,7.4170124436127995,7.515692315720218e-13,,,,,5.405357560188186,5.029796190305612e-13,6.059583133581276,3.7466524695480394e-13
31,,,8.536851167081895,1.1330878062213176e-12,8.241960605045934,6.120990499541752e-13,,,,,5.850265454147469,4.096407011113987e-13,6.558339476748876,3.0513787962314206e-13
32,,,9.9125001319525,8.21729128754924e-13,9.15866261942535,4.896914041153589e-13,,,,,6.276390027182704,3.396313347847434e-13,7.03603910102294,2.507406839728494e-13
33,,,,,9.9125001319525,4.096407011113987e-13,,,,,6.733552875859905,2.7908496083053914e-13,7.682387039893395,1.9881521281665287e-13
34,,,,,,,,,,,7.352113682600522,2.252750933338456e-13,8.169843558506523,1.663145452123145e-13
35,,,,,,,,,,,8.027497013599811,1.786232489830393e-13,8.842292670543683,1.4037404727570365e-13
36,,,,,,,,,,,8.536851167081895,1.5076293156004955e-13,9.654567525819052,1.0271358957979011e-13
37,,,,,,,,,,,9.239508194207032,1.2388629239937776e-13,,
38,,,,,,,,,,,9.825765886595844,1.0180097511801845e-13,,
