,E,HIso,HeIso,sigmaR2
126,0.000403719100357291,H,4He,3.145142613483431e-08
127,0.0004839623184285809,H,4He,3.131052483133233e-08
128,0.0005801546804485677,H,4He,3.1142271008520125e-08
129,0.0006954662386510765,H,4He,3.094164198528958e-08
130,0.0008336971249279699,H,4He,3.070242178458451e-08
131,0.0009994027854770939,H,4He,3.041762731772652e-08
132,0.001198044107091852,H,4He,3.007905078154558e-08
133,0.0014361673825556995,H,4He,2.9677230608121066e-08
134,0.0017216200459627613,H,4He,2.9201354271660448e-08
135,0.0020638092875959503,H,4He,2.863910991020902e-08
136,0.0024740120711044702,H,4He,2.7976966410544193e-08
137,0.0029657467697029477,H,4He,2.72001731497911e-08
138,0.0035552186687904178,H,4He,2.629320852324e-08
139,0.0042618540166805665,H,4He,2.5241200259786022e-08
140,0.00510894022326789,H,4He,2.4028875229521047e-08
141,0.006124393304596119,H,4He,2.264576444102207e-08
142,0.00734167786472749,H,4He,2.1087426482693463e-08
143,0.008800909933230376,H,4He,1.936064470854224e-08
144,0.010550179002672452,H,4He,1.7490415072805502e-08
145,0.012647132834317702,H,4He,1.557593858811753e-08
146,0.015160877259841776,H,4He,1.3620981663897028e-08
147,0.018174253587681845,H,4He,1.1826199194038624e-08
148,0.021786568666727252,H,4He,1.0440571367395675e-08
149,0.02611686757753466,H,4He,9.837754395061415e-09
150,0.03130785680372791,H,4He,1.057013977533673e-08
151,0.037530607173039035,H,4He,1.3542039344199168e-08
152,0.04499019155502361,H,4He,1.9375661277388195e-08
153,0.05393244310770938,H,4He,3.0237518430680746e-08
154,0.06465205679351049,H,4He,4.781060466999092e-08
155,0.07750230115264002,H,4He,7.470493967056555e-08
156,0.09290666038883737,H,4He,1.143975662474152e-07
157,0.11137279043633574,H,4He,1.7115727823975093e-07
158,0.13350924893503416,H,4He,2.505101005696811e-07
159,0.1600455504559356,H,4He,3.5885040789508445e-07
160,0.1918562079036751,H,4He,5.035598903383707e-07
161,0.22998955238879043,H,4He,6.932353111196943e-07
162,0.27570228133849695,H,4He,9.363473168516952e-07
163,0.33050087339078826,H,4He,1.241394969656103e-06
164,0.396191234913883,H,4He,1.6153669424197103e-06
165,0.4749382142690658,H,4He,2.060847018579306e-06
166,0.5693369451298401,H,4He,2.576853927802774e-06
167,0.6824983700009065,H,4He,3.1539215924025778e-06
168,0.8181517623938234,H,4He,3.775979424862933e-06
169,0.9807676263127636,H,4He,4.418185899890136e-06
170,1.175705023245006,H,4He,5.052535439343946e-06
171,1.409388181867592,H,4He,5.6535432170187174e-06
172,1.6895182107035145,H,4He,6.204079668306386e-06
173,2.0253268907905286,H,4He,6.700760102155769e-06
174,2.4278809121869003,H,4He,7.154307967101998e-06
175,2.910446580532337,H,4He,7.581762895337633e-06
176,3.488927012693738,H,4He,7.99615505834495e-06
177,4.18238622942793,H,4He,8.397752830891303e-06
178,5.01367741671467,H,4He,8.77377567023253e-06
179,6.010196060327253,H,4He,9.112051192950824e-06
180,7.204782773448418,H,4He,9.418309450749905e-06
181,8.636805570324883,H,4He,9.696662483471262e-06
182,10.353457252659387,H,4He,9.949026778652726e-06
183,12.411310664553149,H,4He,1.0177262638324584e-05
184,14.878183069957991,H,4He,1.037835703439525e-05
185,17.83537109383559,H,4He,1.0552707416568133e-05
186,21.380329880275124,H,4He,1.0707743969378452e-05
187,25.629884760142616,H,4He,1.0836336627117026e-05
188,30.724081269869444,H,4He,1.0941126882854017e-05
189,36.83080040006742,H,4He,1.1025162452715043e-05
190,44.151291171069424,H,4He,1.1084839836384999e-05
191,52.92680286331722,H,4He,1.112067385005651e-05
192,63.44653547002013,H,4He,1.1129951520908682e-05
193,76.05717038197504,H,4He,1.1108279360818181e-05
194,91.17429539152972,H,4He,1.1055784754496973e-05
195,109.2961005306079,H,4He,1.098168577636061e-05
196,131.01979609382886,H,4He,1.0912711173052846e-05
197,157.0612939082959,H,4He,1.0872856505310019e-05
198,188.27880045304119,H,4He,1.0820796838031193e-05
199,225.70109934745543,H,4He,1.0591487737281033e-05
200,3.6227699051683853e-06,D,3He,2.397261263312997e-05
201,4.342831738421415e-06,D,3He,2.397247914089025e-05
202,5.206013078924412e-06,D,3He,2.3972319056097155e-05
203,6.240760363371484e-06,D,3He,2.3972127212098257e-05
204,7.481174042896418e-06,D,3He,2.3971897213570252e-05
205,8.968132375118345e-06,D,3He,2.39716214957905e-05
206,1.0750638581121347e-05,D,3He,2.3971291005471468e-05
207,1.2887435763387655e-05,D,3He,2.3970894834581778e-05
208,1.5448942804857973e-05,D,3He,2.397041991719799e-05
209,1.851957504733548e-05,D,3He,2.3969850629462623e-05
210,2.2200526227985094e-05,D,3He,2.3969168215345814e-05
211,2.661310335359801e-05,D,3He,2.3968350187218434e-05
212,3.190272441454515e-05,D,3He,2.3967369659942325e-05
213,3.824371068445175e-05,D,3He,2.396619430965971e-05
214,4.584503153747037e-05,D,3He,2.396478541535654e-05
215,5.4957191105572863e-05,D,3He,2.39630967051272e-05
216,6.588048372801077e-05,D,3He,2.3961072563519158e-05
217,7.897489025410862e-05,D,3He,2.3958646406366408e-05
218,9.467194133543785e-05,D,3He,2.3955738561766293e-05
219,0.00011348893866622744,D,3He,2.3952253412456943e-05
220,0.00013604600283786055,D,3He,2.394807656164249e-05
221,0.00016308650962533857,D,3He,2.3943070932520987e-05
222,0.0001955015881905341,D,3He,2.3937072398315737e-05
223,0.00023435948854890962,D,3He,2.3929884547932433e-05
224,0.000280940786114626,D,3He,2.392127224664036e-05
225,0.00033678058350188,D,3He,2.3910954336127677e-05
226,0.000403719100357291,D,3He,2.389859390975894e-05
227,0.0004839623184285809,D,3He,2.3883788911493493e-05
228,0.0005801546804485677,D,3He,2.3866060293039758e-05
229,0.0006954662386510765,D,3He,2.3844832886241835e-05
230,0.0008336971249279699,D,3He,2.3819423115891496e-05
231,0.0009994027854770939,D,3He,2.3789015641829963e-05
232,0.001198044107091852,D,3He,2.3752639395953625e-05
233,0.0014361673825556995,D,3He,2.3709141713700463e-05
234,0.0017216200459627613,D,3He,2.365715271004967e-05
235,0.0020638092875959503,D,3He,2.359505116115162e-05
236,0.0024740120711044702,D,3He,2.352092184223247e-05
237,0.0029657467697029477,D,3He,2.343250858199691e-05
238,0.0035552186687904178,D,3He,2.3327163249657115e-05
239,0.0042618540166805665,D,3He,2.3201790906443104e-05
240,0.00510894022326789,D,3He,2.3052793019721307e-05
241,0.006124393304596119,D,3He,2.287601156604895e-05
242,0.00734167786472749,D,3He,2.2666678667663987e-05
243,0.008800909933230376,D,3He,2.2419377605870136e-05
244,0.010550179002672452,D,3He,2.212802462108313e-05
245,0.012647132834317702,D,3He,2.1771096191055513e-05
246,0.015160877259841776,D,3He,2.1375718634606634e-05
247,0.018174253587681845,D,3He,2.0915071190681773e-05
248,0.021786568666727252,D,3He,2.038155624373803e-05
249,0.02611686757753466,D,3He,1.9757144556534336e-05
250,0.03130785680372791,D,3He,1.90479925108601e-05
251,0.037530607173039035,D,3He,1.823846670835609e-05
252,0.04499019155502361,D,3He,1.733452079343915e-05
253,0.05393244310770938,D,3He,1.6330961253872447e-05
254,0.06465205679351049,D,3He,1.5232071001062744e-05
255,0.07750230115264002,D,3He,1.404582653137005e-05
256,0.09290666038883737,D,3He,1.2787100954533509e-05
257,0.11137279043633574,D,3He,1.1479600643580894e-05
258,0.13350924893503416,D,3He,1.0153822540984788e-05
259,0.1600455504559356,D,3He,8.847387152262726e-06
260,0.1918562079036751,D,3He,7.605002936491836e-06
261,0.22998955238879043,D,3He,6.478066696842498e-06
262,0.27570228133849695,D,3He,5.52015920193896e-06
263,0.33050087339078826,D,3He,4.781189797755383e-06
264,0.396191234913883,D,3He,4.3057904199791375e-06
265,0.4749382142690658,D,3He,4.121235668588754e-06
266,0.5693369451298401,D,3He,4.231490486130027e-06
267,0.6824983700009065,D,3He,4.607816290268057e-06
268,0.8181517623938234,D,3He,5.1858486231704445e-06
269,0.9807676263127636,D,3He,5.869810823961564e-06
270,1.175705023245006,D,3He,6.554254953244142e-06
271,1.409388181867592,D,3He,7.152158214616944e-06
272,1.6895182107035145,D,3He,7.622658592728226e-06
273,2.0253268907905286,D,3He,7.985196416795294e-06
274,2.4278809121869003,D,3He,8.292734192301017e-06
275,2.910446580532337,D,3He,8.621600443441349e-06
276,3.488927012693738,D,3He,8.978360135361934e-06
277,4.18238622942793,D,3He,9.343238163993406e-06
278,5.01367741671467,D,3He,9.67861221335125e-06
279,6.010196060327253,D,3He,9.96532190814457e-06
280,7.204782773448418,D,3He,1.0220364468011744e-05
281,8.636805570324883,D,3He,1.0463766089517203e-05
282,10.353457252659387,D,3He,1.068907226613038e-05
283,12.411310664553149,D,3He,1.0889891144550099e-05
284,14.878183069957991,D,3He,1.1066312836254975e-05
285,17.83537109383559,D,3He,1.1222936985686781e-05
286,21.380329880275124,D,3He,1.1359454365871304e-05
287,25.629884760142616,D,3He,1.1473720112525111e-05
288,30.724081269869444,D,3He,1.1565537133618859e-05
289,36.83080040006742,D,3He,1.1640327497489965e-05
290,44.151291171069424,D,3He,1.1688644112794775e-05
291,52.92680286331722,D,3He,1.171204260227967e-05
292,63.44653547002013,D,3He,1.170174642932624e-05
293,76.05717038197504,D,3He,1.1646857234637218e-05
294,91.17429539152972,D,3He,1.1544044038246157e-05
295,109.2961005306079,D,3He,1.1414677315811987e-05
296,131.01979609382886,D,3He,1.1318307070395072e-05
297,157.0612939082959,D,3He,1.1302468874866746e-05
298,188.27880045304119,D,3He,1.1294205752295204e-05
299,225.70109934745543,D,3He,1.1026092345982819e-05
300,3.6227699051683853e-06,D,4He,5.8401359865769276e-05
301,4.342831738421415e-06,D,4He,5.840099049188318e-05
302,5.206013078924412e-06,D,4He,5.840054770812057e-05
303,6.240760363371484e-06,D,4He,5.8400016936397695e-05
304,7.481174042896418e-06,D,4He,5.839938065737618e-05
305,8.968132375118345e-06,D,4He,5.8398617947305026e-05
306,1.0750638581121347e-05,D,4He,5.839770365678682e-05
307,1.2887435763387655e-05,D,4He,5.839660765471823e-05
308,1.5448942804857973e-05,D,4He,5.839529388635781e-05
309,1.851957504733548e-05,D,4He,5.8393719040816805e-05
310,2.2200526227985094e-05,D,4He,5.839183127337609e-05
311,2.661310335359801e-05,D,4He,5.838956840978675e-05
312,3.190272441454515e-05,D,4He,5.8386855988475684e-05
313,3.824371068445175e-05,D,4He,5.838360473554867e-05
314,4.584503153747037e-05,D,4He,5.837970765901156e-05
315,5.4957191105572863e-05,D,4He,5.837503654946829e-05
316,6.588048372801077e-05,D,4He,5.836943786376671e-05
317,7.897489025410862e-05,D,4He,5.836272753674594e-05
318,9.467194133543785e-05,D,4He,5.8354685157737414e-05
319,0.00011348893866622744,D,4He,5.834504673162572e-05
320,0.00013604600283786055,D,4He,5.8333496047311014e-05
321,0.00016308650962533857,D,4He,5.831965458719775e-05
322,0.0001955015881905341,D,4He,5.830306918965065e-05
323,0.00023435948854890962,D,4He,5.828319764232785e-05
324,0.000280940786114626,D,4He,5.825939126243772e-05
325,0.00033678058350188,D,4He,5.823087445084438e-05
326,0.000403719100357291,D,4He,5.819672022723869e-05
327,0.0004839623184285809,D,4He,5.815582138349248e-05
328,0.0005801546804485677,D,4He,5.810685638800673e-05
329,0.0006954662386510765,D,4He,5.804825010013102e-05
330,0.0008336971249279699,D,4He,5.7978124192281275e-05
331,0.0009994027854770939,D,4He,5.789424543260054e-05
332,0.001198044107091852,D,4He,5.779396026490775e-05
333,0.0014361673825556995,D,4He,5.7674121718721694e-05
334,0.0017216200459627613,D,4He,5.753100652986488e-05
335,0.0020638092875959503,D,4He,5.7360219304881444e-05
336,0.0024740120711044702,D,4He,5.715658910596705e-05
337,0.0029657467697029477,D,4He,5.6914054413275905e-05
338,0.0035552186687904178,D,4He,5.6625520525264155e-05
339,0.0042618540166805665,D,4He,5.628281094066848e-05
340,0.00510894022326789,D,4He,5.587644010196832e-05
341,0.006124393304596119,D,4He,5.539557743116433e-05
342,0.00734167786472749,D,4He,5.482036282818115e-05
343,0.008800909933230376,D,4He,5.414909132115209e-05
344,0.010550179002672452,D,4He,5.3361110074596695e-05
345,0.012647132834317702,D,4He,5.243957701986734e-05
346,0.015160877259841776,D,4He,5.136687509719016e-05
347,0.018174253587681845,D,4He,5.012460505653906e-05
348,0.021786568666727252,D,4He,4.869593633343912e-05
349,0.02611686757753466,D,4He,4.706406956058066e-05
350,0.03130785680372791,D,4He,4.521506562169667e-05
351,0.037530607173039035,D,4He,4.3140908305648763e-05
352,0.04499019155502361,D,4He,4.083799784264404e-05
353,0.05393244310770938,D,4He,3.831313956177924e-05
354,0.06465205679351049,D,4He,3.5581723371151584e-05
355,0.07750230115264002,D,4He,3.267420389439509e-05
356,0.09290666038883737,D,4He,2.9629116066099694e-05
357,0.11137279043633574,D,4He,2.6506755026550948e-05
358,0.13350924893503416,D,4He,2.337177149888237e-05
359,0.1600455504559356,D,4He,2.0302536292839513e-05
360,0.1918562079036751,D,4He,1.7387492296747626e-05
361,0.22998955238879043,D,4He,1.4717002439632052e-05
362,0.27570228133849695,D,4He,1.2377491284638468e-05
363,0.33050087339078826,D,4He,1.0449788070824528e-05
364,0.396191234913883,D,4He,8.995488776448632e-06
365,0.4749382142690658,D,4He,8.046549194152663e-06
366,0.5693369451298401,D,4He,7.5963341511129945e-06
367,0.6824983700009065,D,4He,7.586142270694423e-06
368,0.8181517623938234,D,4He,7.90116713421625e-06
369,0.9807676263127636,D,4He,8.386106904449588e-06
370,1.175705023245006,D,4He,8.87965411784962e-06
371,1.409388181867592,D,4He,9.256763446243916e-06
372,1.6895182107035145,D,4He,9.486397349421324e-06
373,2.0253268907905286,D,4He,9.58615118759153e-06
374,2.4278809121869003,D,4He,9.66471512183364e-06
375,2.910446580532337,D,4He,9.804583649440995e-06
376,3.488927012693738,D,4He,1.0027059190934522e-05
377,4.18238622942793,D,4He,1.0284627246655222e-05
378,5.01367741671467,D,4He,1.0513444409498834e-05
379,6.010196060327253,D,4He,1.0698048995084707e-05
380,7.204782773448418,D,4He,1.0865012124169824e-05
381,8.636805570324883,D,4He,1.1032570334499397e-05
382,10.353457252659387,D,4He,1.1197578756864958e-05
383,12.411310664553149,D,4He,1.1338883228773863e-05
384,14.878183069957991,D,4He,1.1466632133921237e-05
385,17.83537109383559,D,4He,1.1586203420258593e-05
386,21.380329880275124,D,4He,1.1686417689298855e-05
387,25.629884760142616,D,4He,1.1769707962878634e-05
388,30.724081269869444,D,4He,1.1836247456617866e-05
389,36.83080040006742,D,4He,1.1887017271677744e-05
390,44.151291171069424,D,4He,1.1917970665176657e-05
391,52.92680286331722,D,4He,1.192057765586396e-05
392,63.44653547002013,D,4He,1.1888452295935894e-05
393,76.05717038197504,D,4He,1.1808647135130252e-05
394,91.17429539152972,D,4He,1.1675334407877843e-05
395,109.2961005306079,D,4He,1.1515208271790316e-05
396,131.01979609382886,D,4He,1.1400204558440812e-05
397,157.0612939082959,D,4He,1.1387019454599906e-05
398,188.27880045304119,D,4He,1.1392391975599418e-05
399,225.70109934745543,D,4He,1.1114392312843094e-05
400,3.6227699051683853e-06,T,3He,0.0001741368513455796
401,4.342831738421415e-06,T,3He,0.00017413524876619074
402,5.206013078924412e-06,T,3He,0.00017413332758409216
403,6.240760363371484e-06,T,3He,0.00017413102466590322
404,7.481174042896418e-06,T,3He,0.0001741282640899786
405,8.968132375118345e-06,T,3He,0.0001741249549284667
406,1.0750638581121347e-05,T,3He,0.00017412098815159085
407,1.2887435763387655e-05,T,3He,0.00017411623314827883
408,1.5448942804857973e-05,T,3He,0.00017411053335990385
409,1.851957504733548e-05,T,3He,0.0001741037011015876
410,2.2200526227985094e-05,T,3He,0.00017409551148703364
411,2.661310335359801e-05,T,3He,0.00017408569495579615
412,3.190272441454515e-05,T,3He,0.00017407392856716891
413,3.824371068445175e-05,T,3He,0.00017405982526608782
414,4.584503153747037e-05,T,3He,0.0001740429214265347
415,5.4957191105572863e-05,T,3He,0.00017402266152141216
416,6.588048372801077e-05,T,3He,0.00017399838007821502
417,7.897489025410862e-05,T,3He,0.00017396928025534487
418,9.467194133543785e-05,T,3He,0.00017393440759065347
419,0.00011348893866622744,T,3He,0.00017389261954048484
420,0.00013604600283786055,T,3He,0.00017384254855169398
421,0.00016308650962533857,T,3He,0.00017378255829473204
422,0.0001955015881905341,T,3He,0.00017371069146282563
423,0.00023435948854890962,T,3He,0.0001736246079793559
424,0.000280940786114626,T,3He,0.00017352151170837055
425,0.00033678058350188,T,3He,0.00017339806318720312
426,0.000403719100357291,T,3He,0.00017325027788943706
427,0.0004839623184285809,T,3He,0.00017307340518597582
428,0.0005801546804485677,T,3He,0.00017286178778383918
429,0.0006954662386510765,T,3He,0.00017260869739794374
430,0.0008336971249279699,T,3He,0.00017230614460155713
431,0.0009994027854770939,T,3He,0.0001718819099740646
432,0.001198044107091852,T,3He,0.00017145123612083998
433,0.0014361673825556995,T,3He,0.00017093745522625504
434,0.0017216200459627613,T,3He,0.00017032511328505422
435,0.0020638092875959503,T,3He,0.00016959611860338153
436,0.0024740120711044702,T,3He,0.0001687294036523303
437,0.0029657467697029477,T,3He,0.00016770057723308694
438,0.0035552186687904178,T,3He,0.0001664816002708038
439,0.0042618540166805665,T,3He,0.00016504053074838448
440,0.00510894022326789,T,3He,0.00016334131728315679
441,0.006124393304596119,T,3He,0.00016134386203763465
442,0.00734167786472749,T,3He,0.0001589273876046232
443,0.008800909933230376,T,3He,0.00015624223449540274
444,0.010550179002672452,T,3He,0.00015310802564320522
445,0.012647132834317702,T,3He,0.00014942857782280006
446,0.015160877259841776,T,3He,0.0001452298087504332
447,0.018174253587681845,T,3He,0.00014045333986841303
448,0.021786568666727252,T,3He,0.00013506622780544504
449,0.02611686757753466,T,3He,0.00012905134720919513
450,0.03130785680372791,T,3He,0.00012240874123063935
451,0.037530607173039035,T,3He,0.00011515860560864744
452,0.04499019155502361,T,3He,0.00010736150545930298
453,0.05393244310770938,T,3He,9.909430357700903e-05
454,0.06465205679351049,T,3He,9.04708602508128e-05
455,0.07750230115264002,T,3He,8.162757274033602e-05
456,0.09290666038883737,T,3He,7.272695112002987e-05
457,0.11137279043633574,T,3He,6.393962518715806e-05
458,0.13350924893503416,T,3He,5.544463334479316e-05
459,0.1600455504559356,T,3He,4.742020744649024e-05
460,0.1918562079036751,T,3He,4.002973930974852e-05
461,0.22998955238879043,T,3He,3.3415345938372015e-05
462,0.27570228133849695,T,3He,2.7702520001485475e-05
463,0.33050087339078826,T,3He,2.2979783879254823e-05
464,0.396191234913883,T,3He,1.929762625999846e-05
465,0.4749382142690658,T,3He,1.6653766755348505e-05
466,0.5693369451298401,T,3He,1.4975738936155305e-05
467,0.6824983700009065,T,3He,1.4106145621383853e-05
468,0.8181517623938234,T,3He,1.3806454769477428e-05
469,0.9807676263127636,T,3He,1.3784418327963118e-05
470,1.175705023245006,T,3He,1.3766817079062277e-05
471,1.409388181867592,T,3He,1.3577089681201478e-05
472,1.6895182107035145,T,3He,1.318954889632862e-05
473,2.0253268907905286,T,3He,1.2709901707623206e-05
474,2.4278809121869003,T,3He,1.2301791137940146e-05
475,2.910446580532337,T,3He,1.2079475647018e-05
476,3.488927012693738,T,3He,1.2022245464706733e-05
477,4.18238622942793,T,3He,1.2041399864438077e-05
478,5.01367741671467,T,3He,1.204174059690816e-05
479,6.010196060327253,T,3He,1.2008586724007828e-05
480,7.204782773448418,T,3He,1.1991220516121232e-05
481,8.636805570324883,T,3He,1.2017814265010889e-05
482,10.353457252659387,T,3He,1.20602663992587e-05
483,12.411310664553149,T,3He,1.2089714316944305e-05
484,14.878183069957991,T,3He,1.2124471414440093e-05
485,17.83537109383559,T,3He,1.2163491632838307e-05
486,21.380329880275124,T,3He,1.219440060138616e-05
487,25.629884760142616,T,3He,1.2221380741452994e-05
488,30.724081269869444,T,3He,1.2238363481610054e-05
489,36.83080040006742,T,3He,1.2248257534948557e-05
490,44.151291171069424,T,3He,1.2241667792886291e-05
491,52.92680286331722,T,3He,1.2209667565362126e-05
492,63.44653547002013,T,3He,1.2139967040639438e-05
493,76.05717038197504,T,3He,1.2018936196587197e-05
494,91.17429539152972,T,3He,1.1836880057407636e-05
495,109.2961005306079,T,3He,1.1628073378478503e-05
496,131.01979609382886,T,3He,1.1482736264766115e-05
497,157.0612939082959,T,3He,1.1469787052314382e-05
498,188.27880045304119,T,3He,1.1491813960583134e-05
499,225.70109934745543,T,3He,1.120348704814841e-05
500,3.6227699051683853e-06,T,4He,0.0008392891839470265
501,4.342831738421415e-06,T,4He,0.000839269453103689
502,5.206013078924412e-06,T,4He,0.0008392458013239256
503,6.240760363371484e-06,T,4He,0.0008392174504136205
