,E,HIso,HeIso,sigmaMF,sigmaModMF,sigmaR2,sigmaHFD_B
85,17.83537109383559,H,3He,39.85710550266518,39.46406611709871,40.91024713214236,39.76028650464772
86,21.380329880275124,H,3He,40.395129627580644,40.00428336415314,41.47699394687479,40.30093018524114
87,25.629884760142616,H,3He,40.84636214407942,40.45519921235841,41.95016616869261,40.751265923321924
88,30.724081269869444,H,3He,41.210304399314296,40.820196280149155,42.342470975999404,41.117261517110904
89,36.83080040006742,H,3He,41.49052031121557,41.1013737751062,42.65132477472521,41.39955512547048
90,44.151291171069424,H,3He,41.68812739613816,41.301288655084726,42.86944198719745,41.60026790450672
91,52.92680286331722,H,3He,41.80710745158384,41.41722423599267,42.99584360271187,41.71689326149644
92,63.44653547002013,H,3He,41.83120517929766,41.443178992459586,43.021147216040575,41.74329881111088
93,76.05717038197504,H,3He,41.76021609113906,41.37243787839293,42.939535994457756,41.67191988561003
94,91.17429539152972,H,3He,41.58382777905275,41.19968105692453,42.742313739007336,41.4996031377827
95,109.2961005306079,H,3He,41.33164441219008,40.948021367606145,42.462389817130756,41.249679548709686
96,131.01979609382886,H,3He,41.0733226598848,40.68999617660123,42.19436261476686,40.99503842308932
97,157.0612939082959,H,3He,40.893239438347265,40.513509928299456,42.023082315504325,40.82510129441217
98,188.27880045304119,H,3He,40.746043584250025,40.35491711008752,41.7974724193255,40.665441740456195
99,225.70109934745543,H,3He,40.13237242151917,39.746073805734625,40.92610530562643,40.023172604742484
100,3.6227699051683853e-06,H,4He,0.4294166979673235,0.6381373472486205,0.1252300270208681,0.5108352960769379
101,4.342831738421415e-06,H,4He,0.4294069470086953,0.6381252461337144,0.12522500768902986,0.5108246988313471
102,5.206013078924412e-06,H,4He,0.4293952581308639,0.6381107400666189,0.1252189901792523,0.5108119954745363
103,6.240760363371484e-06,H,4He,0.42938124643492515,0.6380933510874833,0.1252117775418426,0.5107967676168012
104,7.481174042896418e-06,H,4He,0.42936445027960185,0.6380725065852126,0.1252031316136688,0.5107785135164993
105,8.968132375118345e-06,H,4He,0.42934431659629035,0.6380475197867732,0.125192767996177,0.5107566319496443
106,1.0750638581121347e-05,H,4He,0.42932018232694846,0.6380175678399813,0.1251803452768731,0.5107304023165333
107,1.2887435763387655e-05,H,4He,0.4292912527081249,0.6379816643181199,0.12516545464906803,0.5106989607717631
108,1.5448942804857973e-05,H,4He,0.42925657542421336,0.6379386270751265,0.12514760563033125,0.5106612720782868
109,1.851957504733548e-05,H,4He,0.42921500918633837,0.6378870392069286,0.12512621106481073,0.510616095447727
110,2.2200526227985094e-05,H,4He,0.4291651861817158,0.6378252028175526,0.12510056726009428,0.5105619440496055
111,2.661310335359801e-05,H,4He,0.42910546748368383,0.6377510831211561,0.12506983106020816,0.510497035967897
112,3.190272441454515e-05,H,4He,0.4290338892183132,0.6376622418090008,0.12503300515762136,0.5104192360614819
113,3.824371068445175e-05,H,4He,0.42894809875342466,0.6375557573566547,0.12498886259567182,0.5103259859647042
114,4.584503153747037e-05,H,4He,0.4288452775547732,0.6374281295973756,0.12493596189965475,0.5102142206949815
115,5.4957191105572863e-05,H,4He,0.4287220498588089,0.6372751654429784,0.12487257043211443,0.5100802686423247
116,6.588048372801077e-05,H,4He,0.42857437269989906,0.6370918426291825,0.12479661256519188,0.5099197321019056
117,7.897489025410862e-05,H,4He,0.42839741368711265,0.6368721463742507,0.12470560591851929,0.5097273446942536
118,9.467194133543785e-05,H,4He,0.42818536604277346,0.636608874902087,0.12459657924917218,0.5094968010054479
119,0.00011348893866622744,H,4He,0.4279312924745897,0.6362934306867561,0.12446598183119192,0.5092205931876844
120,0.00013604600283786055,H,4He,0.42762691076230847,0.6359154612125065,0.12430956995747969,0.508889606305708
121,0.00016308650962533857,H,4He,0.42726229515025593,0.6354625406007077,0.12412227360419299,0.5084930642307042
122,0.0001955015881905341,H,4He,0.42682558828424527,0.6349201814318927,0.12389804441917371,0.5080180326200521
123,0.00023435948854890962,H,4He,0.4263026257981318,0.6342703600658467,0.12362966783139907,0.5074490442585102
124,0.000280940786114626,H,4He,0.42567649877818514,0.6334923781631877,0.12330858407786854,0.5067680406554903
125,0.00033678058350188,H,4He,0.42492693272043736,0.6325608387444168,0.12292452190904797,0.5059525661603438
126,0.000403719100357291,H,4He,0.42403050235117673,0.6314457975093537,0.12246536559895489,0.504975922566495
127,0.0004839623184285809,H,4He,0.42295754653029677,0.6301114967403441,0.12191672498810424,0.5038076510434596
128,0.0005801546804485677,H,4He,0.42167485775846475,0.6285153804699248,0.12126157912796576,0.5024101576135069
129,0.0006954662386510765,H,4He,0.42014246343933886,0.6266068739764227,0.1204803712784143,0.500739862627539
130,0.0008336971249279699,H,4He,0.4183119483793609,0.6243262750175467,0.11954889716298286,0.4987433570967943
131,0.0009994027854770939,H,4He,0.4161273505658906,0.6216022122784518,0.11843996625222672,0.49635999960843663
132,0.001198044107091852,H,4He,0.41352303977008026,0.6183510460199411,0.11712161911791878,0.49351526435237664
133,0.0014361673825556995,H,4He,0.41042257608059673,0.6144741684565408,0.11555701406883806,0.4901237883770042
134,0.0017216200459627613,H,4He,0.4067340710556676,0.6098559909950545,0.11370404977721421,0.48608499360997603
135,0.0020638092875959503,H,4He,0.40235223583778534,0.6043616608464443,0.11151478634216395,0.4812817989100735
136,0.0024740120711044702,H,4He,0.3971560683619774,0.5978350663962833,0.10893653614079668,0.4755785049601555
137,0.0029657467697029477,H,4He,0.3910073372288959,0.5900975142590543,0.10591186341959472,0.4688198834112519
138,0.0035552186687904178,H,4He,0.3837497615968001,0.580943544118461,0.10238033025160012,0.4608297711775406
139,0.0042618540166805665,H,4He,0.37520930054523327,0.5701425538076039,0.09828402708096864,0.4514111370384299
140,0.00510894022326789,H,4He,0.36519596281637595,0.5574389322456527,0.09356348349036378,0.4403478576251455
141,0.006124393304596119,H,4He,0.3535082860805874,0.5425554360877692,0.08817793538671885,0.42740916981982235
142,0.00734167786472749,H,4He,0.33994217665702414,0.5252006713272955,0.08211008874154976,0.4123582422266638
143,0.008800909933230376,H,4He,0.3243066464910406,0.505083049113693,0.07538635679979755,0.39496690048784655
